ImageFile,fakeiq_trials.thisRepN,fakeiq_trials.thisTrialN,fakeiq_trials.thisN,fakeiq_trials.thisIndex,intro_text.started,intro_text.stopped,space_instr_intro.started,space_instr_intro.stopped,intro_key_resp.keys,intro_key_resp.rt,intro_key_resp.started,intro_key_resp.stopped,itemIndex,questions,ratings,rt,space_instr_4.started,space_instr_4.stopped,relationship_key_resp.keys,relationship_key_resp.rt,relationship_key_resp.started,relationship_key_resp.stopped,relationship_instr.started,relationship_instr.stopped,instr_fakeiq.started,instr_fakeiq.stopped,instr_fakeiq_key_resp.keys,instr_fakeiq_key_resp.rt,instr_fakeiq_key_resp.started,instr_fakeiq_key_resp.stopped,image_raven.started,image_raven.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instr_premfq.started,instr_premfq.stopped,instr_premfq_key_resp.keys,instr_premfq_key_resp.rt,instr_premfq_key_resp.started,instr_premfq_key_resp.stopped,mfq1_key_resp.keys,mfq1_key_resp.rt,mfq1_key_resp.started,mfq1_key_resp.stopped,space_instr.started,space_instr.stopped,mfq1_instr.started,mfq1_instr.stopped,scale_instr_mfq1.started,scale_instr_mfq1.stopped,mfq2_key_resp.keys,mfq2_key_resp.rt,mfq2_key_resp.started,mfq2_key_resp.stopped,space_instr_2.started,space_instr_2.stopped,scale_instr_mfq1_2.started,scale_instr_mfq1_2.stopped,mfq1_instr_2.started,mfq1_instr_2.stopped,condition,manipulation_text.started,manipulation_text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,demo_key_resp.keys,demo_key_resp.rt,demo_key_resp.started,demo_key_resp.stopped,space_instr_3.started,space_instr_3.stopped,debriefing_text.started,debriefing_text.stopped,debriefing_key_resp.keys,debriefing_key_resp.rt,debriefing_key_resp.started,debriefing_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,13,13) czy ktoś okazał brak lojalności wobec swojej grupy;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,14,14) czy czyjeś działania burzą ustalony porządek życia społecznego;,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,15,"15) czy ktoś postępował tak, aby nie obrazić Boga;",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7461121000815183,26.195580899948254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,1,16) Współczucie dla cierpiących jest najważniejszą cnotą człowieka.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.195580899948254,None,26.195580899948254,None,26.195580899948254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,2,"17) Jeśli ustanawia się nowe prawo, to najważniejsze jest, aby wszyscy byli traktowani sprawiedliwie.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,3,18) Jestem dumny z historii mojego kraju.,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,4,"19) Szacunek dla władzy i autorytetów jest czymś, czego powinny nauczyć się wszystkie dzieci.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,5,"20) Nie należy robić rzeczy obrzydliwych, nawet jeśli nikomu nie dzieje się krzywda z tego powodu.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
,,,,,,,,,,,,,6,"21) Jedną z najgorszych rzeczy, jakie może zrobić człowiek, jest skrzywdzenie bezbronnego zwierzęcia.",None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234,001,2020_May_10_2045,macbeth,2020.1.2,60.06907940788712,
